"","Trimestre","Instituicao","Indice","Procedentes","Total_Reclamacoes","Clientes","Razao"
"1",3,"ACESSO SOLUÇÕES DE PAGAMENTO S.A.",14.7,75,212,5098671,35.377358490566
"2",3,"AGIBANK (conglomerado)",96,182,539,1895683,33.7662337662338
"3",3,"BANCO CSF S.A.",9.98,77,192,7707988,40.1041666666667
"4",3,"BANCO DIGIMAIS S.A.",424.8,132,196,310734,67.3469387755102
"5",3,"BANCO DO ESTADO DE SERGIPE S.A.",164.66,139,216,844129,64.3518518518518
"6",3,"BANCO DO ESTADO DO PARÁ S.A.",56.38,56,107,993127,52.3364485981308
"7",3,"BANCO SICOOB (conglomerado)",17.47,102,225,5835765,45.3333333333333
"8",3,"BANESTES (conglomerado)",25.51,36,93,1410675,38.7096774193548
"9",3,"BANRISUL (conglomerado)",7.31,38,296,5198088,12.8378378378378
"10",3,"BB (conglomerado)",12.64,930,4309,73557524,21.5827338129496
"11",3,"BMG (conglomerado)",46.87,542,1540,11561565,35.1948051948052
"12",3,"BNP PARIBAS (conglomerado)",42.48,87,440,2047673,19.7727272727273
"13",3,"BRADESCO (conglomerado)",25.18,2564,8722,101788328,29.3969273102499
"14",3,"BRB (conglomerado)",46.81,269,710,5745833,37.887323943662
"15",3,"BTG PACTUAL/BANCO PAN (conglomerado)",76.14,1559,3075,20473165,50.6991869918699
"16",3,"C6 BANK (conglomerado)",50.18,1070,3330,21320772,32.1321321321321
"17",3,"CAIXA ECONÔMICA FEDERAL (conglomerado)",17.19,2550,8346,148308904,30.5535585909418
"18",3,"CREFISA (conglomerado)",22.94,75,271,3268995,27.6752767527675
"19",3,"DAYCOVAL (conglomerado)",110.61,173,680,1564046,25.4411764705882
"20",3,"EBANX INSTITUICAO DE PAGAMENTOS LTDA.",70.09,39,114,556387,34.2105263157895
"21",3,"FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO",113.04,79,262,698817,30.1526717557252
"22",3,"GRUPO BONSUCESSO - BS2 (conglomerado)",323.09,111,334,343552,33.2335329341317
"23",3,"INTER (conglomerado)",36.81,782,2143,21243511,36.4909006066262
"24",3,"ITAU (conglomerado)",14.4,1375,5858,95481328,23.4721748036873
"25",3,"MASTER (conglomerado)",373.13,98,207,262641,47.3429951690821
"26",3,"MERCADO CRÉDITO (conglomerado)",22.21,875,2363,39392090,37.0292001692763
"27",3,"MERCANTIL DO BRASIL (conglomerado)",58.42,323,624,5528253,51.7628205128205
"28",3,"MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",5.11,56,239,10958007,23.4309623430962
